Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls_1,Ast_1,G+A_1,G-PK_1,G+A-PK,Matches,xG,npxG,xAG,Sh,source_file
108,Bruno Caicedo,ec ECU,MF,Vancouver W'caps,,2005.0,8,2,304,3.4,2,2,4,2,0,0,2,0,0.59,0.59,1.18,0.59,1.18,Matches,0.0,0.0,0.0,0.0,mls_standard_clean.csv
109,José Caicedo,co COL,MF,Portland Timbers,,2002.0,7,7,503,5.6,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.00,Matches,0.0,0.0,0.0,0.0,mls_standard_clean.csv
110,Marcus Caldeira,ca CAN,FW,Minnesota Utd,,2004.0,1,0,8,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.00,Matches,0.0,0.0,0.0,0.0,mls_standard_clean.csv
111,Taylor Calheira,us USA,FW,Sporting KC,,2002.0,10,3,267,3.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.00,Matches,0.0,0.0,0.0,0.0,mls_standard_clean.csv
112,Noel Caliskan,de GER,MF,Real Salt Lake,,2000.0,14,13,1186,13.2,0,2,2,0,0,0,3,0,0.0,0.15,0.15,0.0,0.15,Matches,0.0,0.0,0.0,0.0,mls_standard_clean.csv
113,Drake Callender,us USA,GK,Minnesota Utd,,1997.0,15,15,1350,15.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.00,Matches,0.0,0.0,0.0,0.0,mls_standard_clean.csv
114,Rudy Camacho,fr FRA,DF,Columbus Crew,,1991.0,15,14,1267,14.1,0,0,0,0,0,0,5,0,0.0,0.0,0.0,0.0,0.00,Matches,0.0,0.0,0.0,0.0,mls_standard_clean.csv
115,Leonardo Campana,ec ECU,FW,NE Revolution,,2000.0,2,1,109,1.2,1,0,1,1,0,0,0,0,0.83,0.0,0.83,0.83,0.83,Matches,0.0,0.0,0.0,0.0,mls_standard_clean.csv
116,Reggie Cannon,us USA,DF,Colorado Rapids,,1998.0,6,4,307,3.4,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0.00,Matches,0.0,0.0,0.0,0.0,mls_standard_clean.csv
117,Capita,ao ANG,"MF,FW",Sporting KC,,2002.0,8,7,524,5.8,1,0,1,1,0,0,2,0,0.17,0.0,0.17,0.17,0.17,Matches,0.0,0.0,0.0,0.0,mls_standard_clean.csv
