Rk,Player,Nation,Pos,Squad,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,PK,PKatt,Matches,xG,npxG,xAG,source_file
118,Kingsley Coman,fr FRA,MF,Al-Nassr,29.0,1996.0,28.3,10,82,31,37.8,2.9,1.09,0.11,0.29,1,1,Matches,0.0,0.0,0.0,saudi_shooting_clean.csv
119,João Costa,br BRA,"MF,DF",Al-Ettifaq,20.0,2005.0,14.0,0,16,2,12.5,1.14,0.14,0.0,0.0,0,0,Matches,0.0,0.0,0.0,saudi_shooting_clean.csv
120,Juan Cozzani,ar ARG,GK,Al Kholood Saudi Club,26.0,1998.0,32.0,0,0,0,,0.0,0.0,,,0,0,Matches,0.0,0.0,0.0,saudi_shooting_clean.csv
121,Awad Dahal,sa KSA,DF,Al-Ettifaq,20.0,2005.0,1.7,0,0,0,,0.0,0.0,,,0,0,Matches,0.0,0.0,0.0,saudi_shooting_clean.csv
122,Sabri Dahal,sa KSA,"MF,FW",Al-Fayha,17.0,2008.0,16.9,3,12,5,41.7,0.71,0.3,0.25,0.6,0,0,Matches,0.0,0.0,0.0,saudi_shooting_clean.csv
123,Abdurahman Al Dakheel,sa KSA,DF,Al-Hazem,,,20.6,1,7,4,57.1,0.34,0.19,0.14,0.25,0,0,Matches,0.0,0.0,0.0,saudi_shooting_clean.csv
124,Matteo Dams,be BEL,DF,Al-Ahli,21.0,2004.0,8.2,0,2,0,0.0,0.24,0.0,0.0,,0,0,Matches,0.0,0.0,0.0,saudi_shooting_clean.csv
125,Abdulkarim Darisi,sa KSA,FW,Al-Hilal,22.0,2003.0,2.8,0,0,0,,0.0,0.0,,,0,0,Matches,0.0,0.0,0.0,saudi_shooting_clean.csv
126,Faisal Darisi,sa KSA,DF,Al-Fateh,28.0,1997.0,2.5,0,1,1,100.0,0.39,0.39,0.0,0.0,0,0,Matches,0.0,0.0,0.0,saudi_shooting_clean.csv
127,David,br BRA,"MF,FW",Damac,21.0,2004.0,7.5,0,10,5,50.0,1.34,0.67,0.0,0.0,0,0,Matches,0.0,0.0,0.0,saudi_shooting_clean.csv
128,Meshal Al Dawood,sa KSA,DF,Al-Hilal,17.0,2008.0,0.1,0,0,0,,0.0,0.0,,,0,0,Matches,0.0,0.0,0.0,saudi_shooting_clean.csv
129,Khalifah Al Dawsari,sa KSA,DF,Neom,26.0,1999.0,23.9,1,5,2,40.0,0.21,0.08,0.2,0.5,0,0,Matches,0.0,0.0,0.0,saudi_shooting_clean.csv
130,Nasser Al-Dawsari,sa KSA,"MF,DF",Al-Hilal,26.0,1998.0,18.0,0,14,3,21.4,0.78,0.17,0.0,0.0,0,0,Matches,0.0,0.0,0.0,saudi_shooting_clean.csv
131,Salem Al-Dawsari,sa KSA,"FW,MF",Al-Hilal,33.0,1991.0,20.9,8,51,19,37.3,2.44,0.91,0.14,0.37,1,2,Matches,0.0,0.0,0.0,saudi_shooting_clean.csv
132,Wesley Delgado,,"MF,DF",Al-Fateh,21.0,2004.0,17.0,2,23,8,34.8,1.36,0.47,0.09,0.25,0,0,Matches,0.0,0.0,0.0,saudi_shooting_clean.csv
